code_point,radical_id,in_radical_stroke_count,stroke_count,on_yomi,kun_yomi,jis_level,regular,for_name
19968,1,0,1,"イチ,イツ","ひとつ,ひとたび,はじめ",1,true,true
19969,1,1,2,"テー,チョー,トー","ひのと,あたる,よぼろ",1,true,true
19971,1,1,2,"シチ,シツ","ななつ,ななたび",1,true,true
19975,1,2,3,"マン,バン",よろず,1,true,true
19976,1,2,3,"ジョー,チョー","たけ,だけ",1,true,true
19977,1,2,3,サン,"みつ,みたび",1,true,true
19978,1,2,3,"ジョー,ショー","うえ,かみ,のぼる",1,true,true
19979,1,2,3,"カ,ゲ","した,しも,もと",1,true,true
19981,1,3,4,"フ,ブ,フツ,ヒ","せず,にあらず,いなや",1,true,true
19982,1,3,3,ヨ,"あたえる,くみする,ともに",1,true,true
19984,1,3,4,"カイ,カツ",こー,2,false,false
19985,1,3,4,"チュー,チュ",うし,1,false,true
19988,1,4,5,"シャ,ショ",かつ,1,true,true
19989,1,4,5,ヒ,おーきー,2,false,false
19990,1,4,5,"セ,セー",よ,1,true,true
19991,1,3,5,"セー,セ",よ,2,false,false
19992,1,4,5,キュー,おか,1,true,true
19993,1,4,5,"ヘー,ヒョー",ひのえ,1,true,true
19998,1,5,6,"ショー,ジョー","すくー,たすける",1,false,true
20001,1,5,6,リョー,ふたつ,1,true,true
20006,1,7,8,ヘー,"なみ,ならべる,ならびに",1,true,true
20010,2,2,3,"カ,コ","こ,ひ",2,false,false
20013,2,3,4,チュー,"なか,うち,あたる",1,true,true
20017,2,4,5,"カン,コー,ケン","あげまき,あらがね",2,false,false
20018,2,6,7,"セン,カン","くし,つらぬく",1,true,true
20022,3,0,1,チュ,"てん,ちょぼ,しるし",2,false,false
20024,3,2,3,ガン,"まるい,まるめる,たま",1,true,true
20025,3,3,4,タン,"あか,に",1,true,true
20027,3,4,5,"シュ,ス","ぬし,おも,あるじ",1,true,true
20028,3,4,5,"セー,タン,ショー",どんぶり,2,true,true
20031,4,0,1,"ヘツ,ヘチ,ヨー",もとる,2,false,false
20034,4,1,2,"ガイ,ゲ","かる,おさめる,おさまる",2,false,false
20035,4,1,2,"ダイ,アイ,ナイ","すなわち,の",1,false,true
20037,4,2,3,"キュー,ク",ひさしー,1,true,true
