id,names,stroke_count
1,いち,1
2,"ぼー,たてぼー",1
3,てん,1
4,の,1
5,"おつ,おつにょー,つりばり",1
6,"はねぼー,かぎ,けつ",1
7,に,2
8,"なべぶた,けーさんかんむり",2
9,"ひと,にんべん,ひとがしら",2
10,"ひとあし,にんにょー",2
11,"いる,いりがしら,いりやね",2
12,"はち,はちがしら",2
13,"けーがまえ,まきがまえ,どーがまえ",2
14,わかんむり,2
15,にすい,2
16,"つくえ,つくえきにょー,かぜかんむり",2
17,"かんにょー,うけばこ",2
18,"かたな,りっとー",2
19,ちから,2
20,つつみがまえ,2
21,ひ,2
22,はこがまえ,2
23,かくしがまえ,2
24,じゅー,2
25,"ぼくのと,ぼく",2
26,ふしずくり,2
27,がんだれ,2
28,む,2
29,また,2
30,"くち,くちへん",3
31,くにがまえ,3
32,"つち,つちへん",3
33,"さむらい,さむらいかんむり",3
34,ふゆがしら,3
35,"すいにょー,ちかんむり,のまたかんむり",3
36,"ゆー,ゆーべ",3
37,"だい,だいかんむり,だいかしら",3
38,"おんな,おんなへん",3
39,"こ,こへん",3
40,うかんむり,3
41,すん,3
42,"ちーさい,しょー",3
43,だいのまげあし,3
44,"しかばね,しかばねかんむり",3
45,"てつ,くさのめ",3
46,"やま,やまへん",3
47,"かわ,まがりかわ",3
48,"こー,たくみへん",3
49,"い,き,こ,し,み,すでに,おのれ",3
50,"はば,はばへん,きんへん",3
51,"かん,いちじゅー",3
52,"よー,いとがしら",3
53,まだれ,3
54,"いんにょー,えんにょー",3
55,"きょー,こまぬき",3
56,"よく,しきがまえ",3
57,"ゆみ,ゆみへん",3
58,けーがしら,3
59,"さんずくり,けかざり",3
60,ぎょーにんべん,3
61,"こころ,りっしんべん,したごころ",4
62,"ほこ,ほこずくり",4
63,"と,とかんむり,とだれ",4
64,"て,てへん",4
65,"しにょー,えだにょー",4
66,"ぼくずくり,ぼくにょー,のぶん",4
67,ぶん,4
68,"と,とます",4
69,"おの,おのずくり",4
70,"ほー,ほーへん,かたへん",4
71,"なし,すでのつくり,むにょー",4
72,"ひ,ひへん,にちへん",4
73,ひらび,4
74,"つき,つきへん",4
75,"き,きへん",4
76,あくび,4
77,"とめる,とめへん",4
78,"がつへん,かばねへん",4
79,"ほこずくり,るまた",4
80,"なかれ,はは",4
81,"くらべる,ならびひ",4
82,け,4
83,うじ,4
84,きがまえ,4
85,"みず,さんずい,したみず",4
86,"ひ,ひへん,れっか,れんが",4
87,"つめ,つめかんむり,そーにょー",4
88,ちち,4
89,こー,4
90,"しょーへん,しょー",4
91,"かた,かたへん",4
92,"きば,きばへん",4
93,"うし,うしへん",4
94,"いぬ,けものへん",4
95,げん,5
96,"たま,たまへん,おーへん",5
97,うり,5
98,かわら,5
99,あまい,5
100,"いきる,うまれる",5
101,もちーる,5
102,"た,たへん",5
103,"ひき,ひきへん",5
104,やまいだれ,5
105,はつがしら,5
106,しろ,5
107,"けがわ,ひのかわ",5
108,さら,5
109,"め,めへん",5
110,"ほこ,ほこへん",5
111,"や,やへん",5
112,"いし,いしへん",5
113,"しめす,しめすへん",5
114,じゅーのあし,5
115,"のぎへん,のぎ",5
116,"あな,あなかんむり",5
117,"たつ,たつへん",5
118,"たけ,たけかんむり",6
119,"こめ,こめへん",6
120,"いと,いとへん",6
121,"ふ,ほとぎ,ほとぎへん",6
122,"あみがしら,あみめ",6
123,"ひつじ,ひつじへん",6
124,はね,6
125,"おいる,おいかんむり",6
126,しこーして,6
127,"らいすき,すきへん",6
128,"みみ,みみへん",6
129,"いつ,ふでずくり",6
130,"にく,にくずき",6
131,しん,6
132,"みずから,じ",6
133,"いたる,いたるへん",6
134,うす,6
135,"した,したへん",6
136,まいあし,6
137,"ふね,ふねへん",6
138,"うしとら,こん,こんずくり,ねずくり",6
139,いろ,6
140,"くさ,くさかんむり",6
141,"とらかんむり,とらがしら",6
142,"むし,むしへん",6
143,ち,6
144,"ゆきがまえ,ぎょーがまえ",6
145,"ころも,ころもへん",6
146,"にし,おーいかんむり",6
147,みる,7
148,"つの,つのへん",7
149,"ことば,げん,ごんべん",7
150,"たに,たにへん",7
151,"まめ,まめへん",7
152,"いのこ,ぶた,いのこへん",7
153,むじなへん,7
154,"かい,かいへん,こがい",7
155,あか,7
156,"はしる,そーにょー",7
157,"あし,あしへん",7
158,"み,みへん",7
159,"くるま,くるまへん",7
160,"しん,からい",7
161,しんのたつ,7
162,"しんにょー,しんにゅー",7
163,"むら,おーざと",7
164,"とりへん,ひよみのとり,さけのとり",7
165,"のごめ,のごめへん",7
166,"さと,さとへん",7
167,"かね,かねへん",8
168,ながい,8
169,"もん,もんがまえ,かどがまえ",8
170,"おか,こざとへん",8
171,れーずくり,8
172,ふるとり,8
173,"あめ,あめかんむり",8
174,あお,8
175,あらず,8
176,めん,9
177,"かわへん,つくりがわ",9
178,なめしがわ,9
179,にら,9
180,"おと,おとへん",9
181,おーがい,9
182,かぜ,9
183,とぶ,9
184,"しょくへん,しょく",9
185,くび,9
186,かおり,9
187,"うま,うまへん",10
188,"ほね,ほねへん",10
189,たかい,10
190,"かみがしら,かみかんむり",10
191,"たたかいがまえ,とーがまえ",10
192,"ちょー,においざけ",10
193,かなえ,10
194,"きにょー,おに",10
195,"さかな,うお,うおへん",11
196,"とり,とりへん",11
197,しお,11
198,しか,11
199,"むぎ,ばくにょー",11
200,"あさ,あさかんむり",11
201,き,12
202,きび,12
203,くろ,12
204,"ち,ぬいとり,ふつへん",12
205,"かえる,べんあし,べん",13
206,"かなえ,てー",13
207,つずみ,13
208,"ねずみ,ねずみへん",13
209,"はな,はなへん",14
210,せー,14
211,"は,はへん",15
212,りゅー,16
213,かめ,16
214,"やく,ふえ",17
